ID,name,description,price,stock
70770,S. Thawesin,Finance,971222,3
487975,J. Amornwiwat,Finance,934758,4
982588,K. Jinawijarana,Finance,900951,3
654963,P. Pahitthanukorn,Foreign Affair,899501,7
98852,J. Sangmanee,Foreign Affair,896649,8
524549,T. Prompao,Agriculture,880634,10
622599,C. Promma,Agriculture,878605,7
332090,A. Nakasai,Agriculture,863414,2
890933,S. Klungsang,Defense,831230,3
998444,S. Isarapakdee,Higher Education,786243,8
838049,P. Janruangthong,DE,745862,4
88553,W. Silapa-archa,Social Development,552146,5
690504,A. Charnwirakul,Interior,542103,10
749311,K Kaltinan,Interior,480814,7
324338,S. Thongsree,Interior,470503,7
49055,C. Thaiseth,Interior,460981,2
402930,P. Chitchob,Education,453659,5
985918,S. Pancharoenworakul,Education,414057,2
669471,C. Srikaew,Public Health,386059,4
386046,S. Prompat,Public Health,348817,2
510875,S. Wangsupakitkosol,Travel and Sport,304551,3
170093,P. Rachkitprakan,Labour,297730,5
412434,P. Khunla-aied,Office of Prime Minister,252536,3
34857,P. Chuenban,Office of Prime Minister,252333,10
840569,P. Wetchayachai,Finance,206560,3
912143,P. Lick,Finance,195537,6
328213,N. Srisanpang,Finance,151950,6
712701,P. Wongsuwan,Natural Resource,95140,7
799944,S. Thepsuthin,Deputy Prime Minister,33767,4
701429,P. Salirwipak,Energy,17441,3
379491,S. juengrungruengkit,Transportion,17385,3
554717,M. Charoensri,Transportion,15303,2
151679,S. Piyachote,Transportion,13473,8
289700,P. Wichaikul,Industry,8633,5
570236,S. Pongpanit,Culture,7302,7
900954,T. Sordsong,Judgement,5938,8
